NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT04023994,"A Single Ascending Dose Study to Investigate the Safety, Tolerability, Immunogenicity and Pharmacokinetics of Intravenously Administered RO7126209 in Healthy Participants",https://clinicaltrials.gov/study/NCT04023994,COMPLETED,Alzheimers Disease,DRUG: RO7126209|DRUG: Placebo,Hoffmann-La Roche,,INTERVENTIONAL
NCT07218081,A Trial to Test Intermittent Deep Brain Stimulation of Nucleus Basalis of Meynert to Treat Alzheimers.,https://clinicaltrials.gov/study/NCT07218081,RECRUITING,Alzheimer Dementia (AD),DEVICE: Intermittent deep brain stimulation of the nucleus basalis of Meynert,Augusta University,,INTERVENTIONAL
NCT02013518,Cognitive Behavioural Therapy for Persons With MCI or Mild Dementia,https://clinicaltrials.gov/study/NCT02013518,UNKNOWN,Alzheimers' Disease,BEHAVIORAL: Cognitive Behavioural Therapy,Oslo University Hospital,Sykehuset i Vestfold HF|Sykehuset Innlandet HF,INTERVENTIONAL
NCT03748303,Allopregnanolone Regenerative Therapeutic for Early Alzheimer's Disease: Intramuscular Study,https://clinicaltrials.gov/study/NCT03748303,TERMINATED,Alzheimer Dementia,DRUG: Allopregnanolone,University of Arizona,University of Southern California|Alzheimer's Association,INTERVENTIONAL
NCT04289402,Individualized Brain Stimulation to Improve Mobility in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04289402,ACTIVE_NOT_RECRUITING,Alzheimer Dementia|Presenile Alzheimer Dementia|Aging,OTHER: Personalized tDCS|OTHER: Active-Sham,Hebrew SeniorLife,,INTERVENTIONAL
NCT01946243,The Feasibility of Florbetapir Quantitation,https://clinicaltrials.gov/study/NCT01946243,COMPLETED,Alzheimers Disease,DRUG: Florbetapir F18,Avid Radiopharmaceuticals,,INTERVENTIONAL
NCT01723488,"A Phase 0, Open Label, Multi-Center, Exploratory and Safety Study of [F-18]T808",https://clinicaltrials.gov/study/NCT01723488,TERMINATED,Alzheimers Disease,RADIATION: [F18] T808,Avid Radiopharmaceuticals,,INTERVENTIONAL
NCT01733355,"A Phase 0, Open Label, Multi-center Exploratory and Safety Study of [F-18]T807",https://clinicaltrials.gov/study/NCT01733355,TERMINATED,Alzheimers Disease|AD,RADIATION: [F18] T807,Avid Radiopharmaceuticals,,INTERVENTIONAL
NCT00448799,Evaluation of [123I] AV83 and SPECT in Patients With Alzheimer Disease in Comparison to Healthy Controls,https://clinicaltrials.gov/study/NCT00448799,COMPLETED,Alzheimers Disease,RADIATION: [123-I] AV-83 Injection and Imaging Procedures,Molecular NeuroImaging,Institute for Neurodegenerative Disorders,INTERVENTIONAL
NCT00439010,Use of [123I] AV39 and SPECT Imaging as a Marker of Protein Disposition in Subjects With Alzheimer Disease Compared to Healthy Subjects,https://clinicaltrials.gov/study/NCT00439010,COMPLETED,Alzheimers Disease,DRUG: [123I] AV 39,Molecular NeuroImaging,Institute for Neurodegenerative Disorders,INTERVENTIONAL
NCT02132143,Comparative Study of Chemoradiation and Sequential Chemoradiation About Lung Adenocarcinoma Patients With Postoperative in pN2,https://clinicaltrials.gov/study/NCT02132143,UNKNOWN,Lung Adenocarcinoma Patients With Postoperative in pN2,RADIATION: intensity-modulated radiation|RADIATION: intensity-modulated radiation,Hui Lin,,INTERVENTIONAL
NCT07431528,Dementia and Storytelling in Vietnam,https://clinicaltrials.gov/study/NCT07431528,NOT_YET_RECRUITING,Alzheimer Dementia (AD),BEHAVIORAL: Storytelling intervention|BEHAVIORAL: Basic information,"University of Massachusetts, Worcester",Alzheimer's Association,INTERVENTIONAL
NCT02833792,Allogeneic Human Mesenchymal Stem Cells for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02833792,UNKNOWN,Alzheimer Dementia,DRUG: Human Mesenchymal Stem Cells and Lactated Riunger's Solution|OTHER: Placebo,"Stemedica Cell Technologies, Inc.",Stemedica International SA,INTERVENTIONAL
NCT02267486,Exploratory Study for the Validity of QuQu Scale,https://clinicaltrials.gov/study/NCT02267486,COMPLETED,Alzheimer Dementia,OTHER: Standard therapy of Alzheimer Dementia (AD)|OTHER: Observation,"Translational Research Center for Medical Innovation, Kobe, Hyogo, Japan","Daiichi Sankyo Co., Ltd.",OBSERVATIONAL
NCT04871698,On Site Sensors Monitoring Impacts of Cognitive Decline on ADLs,https://clinicaltrials.gov/study/NCT04871698,UNKNOWN,Dementia|Dementia Alzheimers,,National Institute on Aging (NIA),Texas A&M University|Baylor Research Institute|Georgia Institute of Technology,OBSERVATIONAL
NCT03718494,Continuation of The Kronos Early Estrogen Prevention Study (KEEPS),https://clinicaltrials.gov/study/NCT03718494,COMPLETED,Alzheimer Dementia,DIAGNOSTIC_TEST: Brain Magnetic Resonance Imaging (MRI)|DIAGNOSTIC_TEST: F-18 Florbetapir Positron Emission Tomography (PET) Imaging|DIAGNOSTIC_TEST: F-18 AV-1451 Positron Emission Tomography (PET) Imaging|OTHER: Neuropsychological Testing,Mayo Clinic,"Columbia University|Yale University|Utah State University|Brigham and Women's Hospital|Banner Alzheimer's Institute|University of California, San Francisco|National Institute on Aging (NIA)",OBSERVATIONAL
